city,lat,lon,temp_day,avg_temp,description
Mont Saint-Michel,48.6359541,-1.511459954959514,10.14,9.510000000000002,pluie modérée
Saint-Malo,48.649518,-2.0260409,10.43,8.468571428571428,pluie modérée
Bayeux,49.2764624,-0.7024738,8.96,8.397142857142857,pluie modérée
Le Havre,49.4938975,0.1079732,8.68,8.065714285714286,pluie modérée
Rouen,49.4404591,1.0939658,9.59,9.188571428571427,pluie modérée
Paris,48.8534951,2.3483915,10.34,9.182857142857143,pluie modérée
Amiens,49.8941708,2.2956951,9.55,9.044285714285715,pluie modérée
Lille,50.6365654,3.0635282,10.11,9.31857142857143,pluie modérée
Strasbourg,48.584614,7.7507127,6.87,7.517142857142857,légère pluie
Château du Haut-Kœnigsbourg,48.24941075,7.344320233724503,2.98,4.468571428571429,pluie modérée
Colmar,48.0777517,7.3579641,5.66,7.2700000000000005,pluie modérée
Eguisheim,48.0447968,7.3079618,5.36,6.972857142857142,légère pluie
Besançon,47.2380222,6.0243622,5.14,7.2128571428571435,pluie modérée
Dijon,47.3215806,5.0414701,6.94,7.484285714285714,légère pluie
Annecy,45.8992348,6.1288847,6.47,7.362857142857143,légère pluie
Grenoble,45.1875602,5.7357819,6.29,9.881428571428572,pluie et neige
Lyon,45.7578137,4.8320114,7.76,8.151428571428571,couvert
Gorges du Verdon,43.7496562,6.3285616,7.69,8.91,ciel dégagé
Bormes-les-Mimosas,43.1506968,6.3419285,12.0,12.097142857142858,ciel dégagé
Cassis,43.2140359,5.5396318,10.26,12.09,ciel dégagé
Marseille,43.2961743,5.3699525,11.17,12.648571428571428,ciel dégagé
Aix-en-Provence,43.5298424,5.4474738,10.31,12.132857142857144,ciel dégagé
Avignon,43.9492493,4.8059012,11.64,10.622857142857143,ciel dégagé
Uzès,44.0121279,4.4196718,11.3,10.404285714285715,ciel dégagé
Nîmes,43.8374249,4.3600687,12.07,11.027142857142858,ciel dégagé
Aigues-Mortes,43.5661521,4.19154,12.48,11.064285714285715,ciel dégagé
Saintes-Maries-de-la-Mer,43.4515922,4.4277202,12.11,10.545714285714284,ciel dégagé
Collioure,42.52505,3.0831554,14.51,11.93142857142857,ciel dégagé
Carcassonne,43.2130358,2.3491069,12.44,10.90857142857143,nuageux
Ariège,42.9455368,1.4065544156065486,6.22,5.931428571428571,légère pluie
Toulouse,43.6044622,1.4442469,12.28,10.618571428571428,légère pluie
Montauban,44.0175835,1.3549991,12.01,10.245714285714286,légère pluie
Biarritz,43.4832523,-1.5592776,11.98,9.711428571428572,légère pluie
Bayonne,43.4945144,-1.4736657,12.24,10.175714285714287,légère pluie
La Rochelle,46.159732,-1.1515951,10.95,9.02,légère pluie
